ID_Cliente;Nome;NIF;NIB
1001;Filipa Cunha;219867321;003506510000258741256
1002;Andre Fonseca;176618023;003502230000000000015
1003;Bruno Teixeira;160753031;003501230000000123456
1004;Carlos Pereira;295692578;003504560000345678901
1005;Helena Araujo;180209728;003502230000012345678
1006;Rui Martins;700598492;0035116380127877436777029
1007;Ines Ferreira;569039623;003506780000567890123
1008;Maria Sousa;303210702;0035137924196365191120980
1009;Rui Martins;659671800;00350033000345678901265
1010;Ines Ferreira;251729789;003507890000678901234
1011;Beatriz Lopes;205441081;003508900000789012345
1012;Sofia Almeida;271740886;003509010000890123456
1013;Luis Pacheco;155178288;00350045000456789012383
1014;Luis Pacheco;915855876;003510120000901234567
1015;Rui Martins;298608035;003511230001012345678
1016;Pedro Rocha;481512356;003512340001123456789
1017;Rui Martins;136282873;003513450001234567890
1018;Miguel Santos;953953129;003514560001345678901
1019;Luis Pacheco;186723873;003515670001456789012
1020;Ana Costa;225641026;0035843084845232651786295
1021;Pedro Rocha;242348087;0035908835691320789325817
1022;Ines Ferreira;237606223;0035222702907564074782644
1023;Filipa Cunha;811951529;0035952715300562866912948
1024;Tiago Ribeiro;527640278;0035413275624518100706478
1025;Maria Sousa;135445337;0035207054190977387067085
1026;Ines Ferreira;931346159;0035139449095422040136303
1027;Paula Gomes;125084935;0035892191008257570277129
1028;Rui Martins;197180833;003511638012787743608
1029;Filipa Cunha;139563660;0035921622830457421874959
1030;Ana Costa;180697021;0035252256612255330805231
1031;Andre Fonseca;118130498;0035006471067823312495008
1032;Pedro Rocha;127563083;0035022606158435922898237
1033;Maria Sousa;198188218;0035619873764052210136218
1034;Filipa Cunha;107053977;00352100000901234567844
1035;Paula Gomes;129209597;003501230000000000027
1036;Paula Silva;169769690;0035061645416985072807706
1037;Maria Sousa;141925337;0035500775834077148507873
1038;Ana Costa;150088671;0035028710017759739852447
1039;Bruno Teixeira;175046220;00353500001012345678953
1040;Pedro Rocha;146507886;0035746019442487169392511
1041;Diogo Matos;264734643;003502230000000000079
1042;Ana Costa;483703627;00351234000789012345608
1043;Joao Silva;775300371;00351500000890123456726
1044;Carlos Pereira;150944446;003515670001456789012
1045;Carlos Pereira;180314564;003516780001567890123
1046;Tiago Ribeiro;190431717;003518900001789012345
1047;Bruno Teixeira;144950537;003519010001890123456
1048;Diogo Matos;891216606;0035372297075306038573451
1049;Maria Sousa;171013522;00350081000678901234527
1050;Filipa Cunha;138015465;003500000000000000029
